영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,장르2,등급_le,관람객수_le,계절_le,계절,관객수_등급,장르_le
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018.0,875001.0,애니메이션,전체관람가,9.32,8.5,8.91,0,2,2070,3,4,3,0
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380.0,206309.0,애니메이션,15세이상관람가,8.392941176470588,6.0,7.196470588235294,0,1,1978,3,4,3,0
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260.0,155562.0,액션,12세이상관람가,7.54,5.5,6.52,1,0,1957,3,4,3,1
세자매,(주)리틀빅픽쳐스,2021,1,569.0,42290.0,드라마,15세이상관람가,8.95,5.0,6.975,2,1,1832,3,4,3,2
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532.0,38131.0,애니메이션,12세이상관람가,8.02,5.0,6.51,0,0,1811,3,4,3,0
조제,워너브러더스 코리아(주),2020,12,1179.0,23337.0,멜로/로맨스,15세이상관람가,8.2,5.6,6.8999999999999995,3,1,1746,3,4,3,3
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494.0,21913.0,드라마,15세이상관람가,9.43,6.0,7.715,2,1,1736,3,4,3,2
도굴,(주)씨제이이엔엠,2020,11,1635.0,21729.0,범죄,12세이상관람가,0.0,5.0,2.5,4,0,1733,2,3,3,4
뱅가드,(주)디스테이션,2020,12,265.0,21166.0,액션,12세이상관람가,3.41,3.67,3.54,1,0,1725,3,4,3,1
블라인드,주식회사 컨텐츠썬,2021,1,239.0,18297.0,드라마,15세이상관람가,9.35,5.67,7.51,2,1,1700,3,4,3,2
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432.0,16290.0,멜로/로맨스,12세이상관람가,8.52,5.0,6.76,3,0,1672,3,4,3,3
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308.0,14682.0,애니메이션,전체관람가,9.0,6.0,7.5,0,2,1647,3,4,3,0
커넥트,(주)이수C&E,2021,1,386.0,14140.0,공포(호러),15세이상관람가,5.848333333333333,5.0,5.424166666666666,5,1,1640,3,4,3,5
미스터 존스,(주)디오시네마,2021,1,277.0,10727.0,드라마,15세이상관람가,7.819929577464789,5.5,6.6599647887323945,2,1,1582,3,4,3,2
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313.0,9660.0,드라마,12세이상관람가,8.17,6.8,7.484999999999999,2,0,1551,3,4,3,2
북스마트,(주)콘텐츠판다,2021,1,163.0,9435.0,코미디,15세이상관람가,8.49,6.5,7.495,6,1,1547,3,4,3,6
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318.0,8659.0,드라마,15세이상관람가,7.26,6.0,6.63,2,1,1530,3,4,3,2
나이팅게일,(주)제이앤씨미디어그룹,2020,12,329.0,8340.0,스릴러,청소년관람불가,8.71,6.0,7.355,7,3,1517,3,4,3,7
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155.0,7991.0,다큐멘터리,15세이상관람가,8.15,6.322439024390243,7.236219512195122,8,1,1505,3,4,3,8
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153.0,7796.0,멜로/로맨스,12세이상관람가,8.63,6.0,7.315,3,0,1494,3,4,3,3
파힘,(주)디스테이션,2021,1,165.0,6547.0,드라마,전체관람가,8.16,5.33,6.745,2,2,1444,3,4,3,2
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363.0,6518.0,드라마,12세이상관람가,8.31,5.0,6.655,2,0,1443,2,3,3,2
테넷,워너브러더스 코리아(주),2020,8,2228.0,6271.0,액션,12세이상관람가,8.73,7.25,7.99,1,0,1431,1,2,3,1
걸,(주)리틀빅픽쳐스,2021,1,239.0,4853.0,드라마,15세이상관람가,7.819929577464789,6.33,7.0749647887323945,2,1,1369,3,4,3,2
런,(주)올스타엔터테인먼트,2020,11,799.0,4754.0,미스터리,15세이상관람가,8.53,6.5,7.515,9,1,1360,2,3,3,9
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,2020,12,370.0,4732.0,애니메이션,전체관람가,8.52,6.0,7.26,0,2,1358,3,4,3,0
모추어리 컬렉션,(주)이놀미디어,2021,1,115.0,3767.0,판타지,청소년관람불가,6.36,6.25,6.305,10,3,1276,3,4,2,10
가을의 마티네,찬란,2020,12,19.0,3682.0,멜로/로맨스,12세이상관람가,8.9,5.33,7.115,3,0,1267,3,4,2,3
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131.0,3623.0,애니메이션,전체관람가,9.53,6.5,8.015,0,2,1260,2,3,2,0
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98.0,3541.0,드라마,전체관람가,9.23,6.0,7.615,2,2,1256,3,4,2,2
운디네,M&M 인터내셔널,2020,12,42.0,3222.0,드라마,12세이상관람가,8.38,8.0,8.190000000000001,2,0,1230,3,4,2,2
사일런싱,(주)홈초이스,2021,1,89.0,2873.0,공포(호러),15세이상관람가,5.848333333333333,5.665555555555556,5.756944444444445,5,1,1199,3,4,2,5
큰엄마의 미친봉고,(주)백그림,2021,1,67.0,2802.0,코미디,12세이상관람가,6.04,6.0,6.02,6,0,1192,3,4,2,6
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021,1,72.0,2796.0,스릴러,15세이상관람가,6.67,6.55,6.609999999999999,7,1,1191,3,4,2,7
래시 컴 홈,찬란,2021,1,13.0,2498.0,가족,전체관람가,7.66,6.0,6.83,11,2,1160,3,4,2,11
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39.0,2380.0,드라마,전체관람가,8.38,5.5,6.94,2,2,1143,3,4,2,2
미스터 보스,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2020,12,226.0,2313.0,드라마,15세이상관람가,6.5,3.67,5.085,2,1,1131,3,4,2,2
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120.0,2253.0,드라마,15세이상관람가,9.15,9.5,9.325,2,1,1120,3,4,2,2
썸머 85,찬란,2020,12,126.0,2200.0,멜로/로맨스,15세이상관람가,8.59,7.25,7.92,3,1,1115,3,4,2,3
제이티 르로이,(주)영화사 빅,2021,1,93.0,1977.0,드라마,15세이상관람가,8.17,5.67,6.92,2,1,1078,3,4,2,2
라스트 프론티어,(주)까멜리아이엔티,2021,1,20.0,1840.0,전쟁,15세이상관람가,8.22,5.0,6.61,12,1,1059,3,4,2,12
리플레이,(주)다자인소프트,2020,12,242.0,1586.0,드라마,12세이상관람가,7.553602484472049,5.0,6.276801242236024,2,0,1009,3,4,2,2
언플랜드,(주)영화사오원,2020,12,281.0,1430.0,드라마,15세이상관람가,9.62,3.5,6.56,2,1,979,3,4,2,2
크루아상,하준사,2021,1,42.0,1221.0,드라마,12세이상관람가,9.8,3.5,6.65,2,0,934,3,4,2,2
라이어트: 기계들의 역습,(주)노바이앤티,2020,12,52.0,1205.0,SF,15세이상관람가,3.71,6.16625,4.938124999999999,13,1,929,3,4,2,13
럭키 몬스터,(주)영화사 그램,2020,12,101.0,1135.0,드라마,청소년관람불가,7.92,5.5,6.71,2,3,914,3,4,2,2
누군가 어디에서 나를 기다리면 좋겠다,(주)영화사 진진,2020,12,54.0,1091.0,드라마,15세이상관람가,7.57,5.0,6.285,2,1,896,3,4,2,2
800,"TCO(주)더콘텐츠온,(주)디스테이션",2020,12,223.0,1076.0,전쟁,15세이상관람가,3.37,5.0,4.1850000000000005,12,1,891,3,4,2,12
족벌 두 신문 이야기,(주)엣나인필름,2021,1,10.0,1030.0,다큐멘터리,12세이상관람가,9.93,5.5,7.715,8,0,873,3,4,2,8
438일,(주)에스와이코마드,2021,1,40.0,1000.0,드라마,15세이상관람가,8.04,6.042624113475177,7.041312056737588,2,1,862,3,4,2,2
마라가 큰 결정을 해야 해,(주)영화사오원,2021,1,79.0,856.0,멜로/로맨스,15세이상관람가,4.69,6.428571428571429,5.559285714285714,3,1,771,3,4,2,3
천사는 바이러스,주식회사 씨엠닉스,2021,1,44.0,816.0,드라마,15세이상관람가,8.76,6.042624113475177,7.401312056737588,2,1,744,3,4,2,2
요요현상,영화배급협동조합 씨네소파,2021,1,27.0,804.0,다큐멘터리,전체관람가,9.33,6.67,8.0,8,2,734,3,4,2,8
나의 작은 동무,(주)라이크콘텐츠,2021,1,40.0,777.0,드라마,12세이상관람가,8.83,6.33,7.58,2,0,714,3,4,2,2
부활: 그 증거,(주)영화사 진진,2020,10,111.0,619.0,다큐멘터리,전체관람가,9.82,4.0,6.91,8,2,586,2,3,2,8
함께 있을 수 있다면,(주)영화사 진진,2020,12,30.0,612.0,멜로/로맨스,12세이상관람가,8.92,5.67,7.295,3,0,581,3,4,2,3
추억의 검정고무신,(주)대교 미디어콘텐츠사업본부,2020,11,215.0,582.0,애니메이션,전체관람가,5.87,5.0,5.4350000000000005,0,2,558,2,3,2,0
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41.0,546.0,코미디,15세이상관람가,5.38,5.79,5.585,6,1,538,3,4,2,6
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149.0,526.0,애니메이션,15세이상관람가,9.5,6.476857142857143,7.988428571428571,0,1,522,2,3,2,0
스웨그,(주)영화사오원,2020,12,118.0,501.0,드라마,15세이상관람가,9.71,4.0,6.855,2,1,498,3,4,2,2
전쟁,(주)제이앤씨미디어그룹,2020,12,35.0,496.0,액션,15세이상관람가,6.077708333333334,7.67,6.873854166666667,1,1,493,3,4,2,1
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020,10,1615.0,484.0,드라마,12세이상관람가,9.01,7.0,8.004999999999999,2,0,482,2,3,2,2
골든맨,예지림엔터테인먼트,2021,1,25.0,441.0,범죄,15세이상관람가,6.29,5.675,5.9825,4,1,444,3,4,2,4
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021,1,20.0,381.0,스릴러,청소년관람불가,3.61,5.587999999999999,4.598999999999999,7,3,388,3,4,2,7
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187.0,370.0,애니메이션,전체관람가,9.0,7.0,8.0,0,2,375,2,3,2,0
레전더리 콘서트: 레너드 번스타인,(주)케빈앤컴퍼니,2021,1,12.0,366.0,공연,전체관람가,10.0,6.67,8.335,14,2,371,3,4,2,14
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020,12,38.0,350.0,드라마,12세이상관람가,8.8,5.0,6.9,2,0,356,3,4,2,2
사라센의 칼,(주)콘텐츠윙,2021,1,14.0,348.0,드라마,15세이상관람가,9.07,3.0,6.035,2,1,354,3,4,2,2
토스카,일미디어,2020,12,4.0,325.0,공연,12세이상관람가,5.0,10.0,7.5,14,0,335,3,4,2,14
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020,11,116.0,323.0,다큐멘터리,전체관람가,9.54,4.0,6.77,8,2,333,2,3,2,8
피아니스트의 마지막 인터뷰,판씨네마(주),2020,11,55.0,321.0,드라마,전체관람가,9.03,5.5,7.265,2,2,331,2,3,2,2
"오늘, 우리 2",필름다빈,2021,1,14.0,317.0,드라마,12세이상관람가,8.11,5.5,6.805,2,0,327,3,4,2,2
나이트 언데드,(주)원더스컴퍼니,2021,1,20.0,311.0,미스터리,15세이상관람가,3.33,6.0,4.665,9,1,321,3,4,2,9
내언니전지현과 나,호우주의보,2020,12,36.0,306.0,다큐멘터리,12세이상관람가,9.21,6.67,7.94,8,0,315,3,4,2,8
극장판 기븐,(주)애니플러스,2020,11,103.0,301.0,애니메이션,15세이상관람가,7.845806451612903,5.0,6.422903225806452,0,1,308,2,3,2,0
선샤인 패밀리,시네마 뉴원,2020,12,26.0,281.0,드라마,12세이상관람가,7.5,6.492533333333333,6.996266666666667,2,0,288,3,4,2,2
장 미쉘 바스키아: 더 레이디언트 차일드,롯데컬처웍스(주)롯데엔터테인먼트,2020,12,18.0,261.0,다큐멘터리,12세이상관람가,9.0,5.804523809523809,7.402261904761905,8,0,268,3,4,1,8
겨울밤에,㈜인디스토리,2020,12,49.0,251.0,드라마,12세이상관람가,7.84,7.4,7.62,2,0,259,3,4,1,2
디노소어 어드벤쳐,(주)제이앤씨미디어그룹,2021,1,26.0,227.0,어드벤처,15세이상관람가,10.0,5.667777777777777,7.833888888888889,15,1,236,3,4,1,15
찬실이는 복도 많지,찬란,2020,3,241.0,211.0,드라마,전체관람가,9.16,7.0,8.08,2,2,219,0,1,1,2
금의위 3인의 무사,(유)조이앤시네마,2021,1,20.0,210.0,액션,15세이상관람가,0.0,4.704545454545454,2.352272727272727,1,1,218,3,4,1,1
마틴 에덴,알토미디어(주),2020,10,60.0,197.0,드라마,12세이상관람가,9.05,8.0,8.525,2,0,207,2,3,1,2
파티마의 기적,(주)디스테이션,2020,12,162.0,161.0,드라마,12세이상관람가,9.19,6.0,7.595,2,0,169,3,4,1,2
잔칫날,(주)트리플픽쳐스,2020,12,240.0,158.0,드라마,12세이상관람가,9.36,6.0,7.68,2,0,164,3,4,1,2
남매의 여름밤,그린나래미디어(주),2020,8,133.0,144.0,드라마,전체관람가,9.07,7.83,8.45,2,2,149,1,2,1,2
호프,(주)이놀미디어,2020,12,171.0,137.0,드라마,12세이상관람가,7.553602484472049,6.5,7.026801242236024,2,0,142,3,4,1,2
소년시절의 너,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2020,7,252.0,97.0,멜로/로맨스,15세이상관람가,8.97,6.25,7.61,3,1,100,1,2,1,3
마지막 휴가,(주)드림팩트엔터테인먼트,2020,12,11.0,89.0,기타,15세이상관람가,9.17,3.0,6.085,16,1,92,3,4,1,16
에이리,(주)미디어캐슬,2021,1,1.0,86.0,미스터리,15세이상관람가,8.67,6.0,7.335,9,1,89,3,4,1,9
라 보엠,(주)케빈앤컴퍼니,2020,11,7.0,72.0,공연,전체관람가,0.0,5.25,2.625,14,2,75,2,3,1,14
담보,(주)씨제이이엔엠,2020,9,1342.0,71.0,드라마,12세이상관람가,9.16,5.0,7.08,2,0,73,2,3,1,2
에이전트 미스터 찬,(주)라온컴퍼니플러스,2021,1,1.0,60.0,코미디,12세이상관람가,0.0,5.79,2.895,6,0,61,3,4,1,6
해브 어 나이스 데이,(주)라온컴퍼니플러스,2021,1,1.0,60.0,애니메이션,15세이상관람가,0.0,6.288809523809523,3.1444047619047617,0,1,61,3,4,1,0
황금화 : 엄마의 일기,(주)라온컴퍼니플러스,2021,1,1.0,60.0,드라마,15세이상관람가,0.0,6.042624113475177,3.0213120567375884,2,1,61,3,4,1,2
걸후드,(주)영화특별시에스엠씨,2020,11,175.0,59.0,드라마,12세이상관람가,9.0,7.5,8.25,2,0,59,2,3,1,2
그리고 우린 춤을 추었다,(주)엣나인필름,2020,11,79.0,59.0,드라마,15세이상관람가,8.26,6.8,7.529999999999999,2,1,59,2,3,1,2
"그리고, 살아간다",(주)미디어캐슬,2021,1,1.0,52.0,드라마,12세이상관람가,7.83,6.042624113475177,6.936312056737588,2,0,52,3,4,1,2
에듀케이션,영화배급협동조합 씨네소파,2020,11,23.0,50.0,드라마,12세이상관람가,8.75,7.0,7.875,2,0,50,2,3,1,2
애비규환,(주)리틀빅픽쳐스,2020,11,453.0,49.0,드라마,12세이상관람가,8.25,6.0,7.125,2,0,49,2,3,1,2
그날이 온다,(주)제이앤씨미디어그룹,2020,12,105.0,46.0,코미디,15세이상관람가,4.57,5.5,5.035,6,1,46,3,4,1,6
봉쇄수도원 카르투시오,커넥트픽쳐스(주),2020,11,125.0,45.0,다큐멘터리,전체관람가,9.92,6.5,8.21,8,2,45,2,3,1,8
안티고네,"그린나래미디어(주),(주)키다리이엔티",2020,11,130.0,43.0,드라마,15세이상관람가,8.57,6.5,7.535,2,1,43,2,3,1,2
교실 안의 야크,주식회사 슈아픽처스,2020,9,30.0,39.0,드라마,전체관람가,9.06,7.0,8.030000000000001,2,2,39,2,3,1,2
로맨틱 코미디,(주)영화사 안다미로,2020,12,28.0,33.0,다큐멘터리,12세이상관람가,7.2,6.0,6.6,8,0,33,3,4,1,8
미스터트롯: 더 무비,(주)영화사 그램,2020,10,449.0,29.0,공연,전체관람가,9.0,5.0,7.0,14,2,29,2,3,1,14
포기와 베스,(주) 인스터 글로벌,2020,10,7.0,28.0,공연,12세이상관람가,8.958124999999999,6.29,7.624062499999999,14,0,28,2,3,1,14
극장판 미니특공대: 햄버거괴물의 습격,(주)리틀빅픽쳐스,2020,9,414.0,26.0,애니메이션,전체관람가,9.0,6.0,7.5,0,2,26,2,3,1,0
음악,(주)미디어캐슬,2021,1,1.0,24.0,애니메이션,12세이상관람가,8.392941176470588,6.288809523809523,7.340875350140056,0,0,24,3,4,1,0
페이블,쇼치쿠,2021,1,1.0,21.0,코미디,15세이상관람가,6.63,5.79,6.21,6,1,21,3,4,1,6
공포분자,(주)에이썸엔터테인먼트,2020,9,52.0,19.0,드라마,15세이상관람가,8.52,8.2,8.36,2,1,19,2,3,1,2
머리카락,"목영이엔엠,(주)다자인소프트",2020,12,12.0,19.0,다큐멘터리,전체관람가,8.18,4.67,6.425,8,2,19,3,4,1,8
베이 오브 사일런스,㈜코리아스크린,2021,1,5.0,19.0,미스터리,15세이상관람가,0.0,6.0,3.0,9,1,19,3,4,1,9
블러드하운드,(주)퍼스트런,2021,1,5.0,17.0,미스터리,15세이상관람가,5.915,6.0,5.9575,9,1,17,3,4,1,9
도둑까치,일미디어,2020,11,4.0,16.0,공연,전체관람가,8.4025,5.25,6.82625,14,2,16,2,3,1,14
나의 인생여행,(주)라이크콘텐츠,2020,12,31.0,13.0,드라마,15세이상관람가,7.29,6.0,6.645,2,1,12,3,4,1,2
버든: 세상을 바꾸는 힘,(주)제이앤씨미디어그룹,2020,11,82.0,13.0,드라마,15세이상관람가,7.81,6.0,6.904999999999999,2,1,12,2,3,1,2
8년을 뛰어넘은 신부,(주)미디어캐슬,2021,5,1.0,12.0,가족,전체관람가,9.36,4.0,6.68,11,2,11,0,1,1,11
맹크,메가박스중앙(주)플러스엠,2020,11,100.0,11.0,드라마,15세이상관람가,7.806105263157895,8.17,7.988052631578947,2,1,10,2,3,1,2
스페셜 솔져,(유)조이앤시네마,2020,12,5.0,10.0,액션,15세이상관람가,1.33,6.124545454545455,3.7272727272727275,1,1,9,3,4,1,1
탱크 투 베를린,(주)제이앤씨미디어그룹,2020,12,16.0,8.0,액션,15세이상관람가,8.0,6.124545454545455,7.0622727272727275,1,1,7,3,4,1,1
증발,㈜인디스토리,2020,11,35.0,7.0,다큐멘터리,전체관람가,6.27,6.0,6.135,8,2,6,2,3,1,8
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,(주)이수C&E,2020,9,591.0,6.0,애니메이션,전체관람가,8.51,5.0,6.755,0,2,5,2,3,1,0
마티아스와 막심,(주)엣나인필름,2020,7,91.0,5.0,드라마,15세이상관람가,8.07,6.67,7.37,2,1,4,1,2,1,2
프리키 데스데이,유니버설픽쳐스인터내셔널 코리아(유),2020,11,631.0,4.0,코미디,청소년관람불가,6.965384615384616,5.67,6.317692307692308,6,3,3,2,3,1,6
스카이와 친구들: 로보시티의 비밀,와이드 릴리즈(주),2020,12,83.0,2.0,애니메이션,전체관람가,1.0,5.8354,3.4177,0,2,1,3,4,1,0
버스납치,(주)영진크리에이티브,2021,1,1.0,1.0,코미디,12세이상관람가,5.0,5.79,5.395,6,0,0,3,4,1,6
웬디고: 전설의 몬스터,(주)영화사 안다미로,2021,1,1.0,1.0,공포(호러),15세이상관람가,4.5,5.665555555555556,5.082777777777778,5,1,0,3,4,1,5
파이널 리벤지,(주)스토리제이,2021,1,1.0,1.0,전쟁,15세이상관람가,4.0,4.835,4.4175,12,1,0,3,4,1,12
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018.0,1005644.0,애니메이션,전체관람가,9.32,8.5,8.91,0,2,2076,3,4,3,0
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380.0,686807.0,애니메이션,15세이상관람가,8.392941176470588,6.0,7.196470588235294,0,1,2055,3,4,3,0
미션 파서블,(주)메리크리스마스,2021,2,930.0,331069.0,코미디,15세이상관람가,8.41,4.5,6.455,6,1,2016,3,4,3,6
새해전야,(주)에이스메이커무비웍스,2021,2,906.0,168168.0,멜로/로맨스,12세이상관람가,8.38,5.5,6.94,3,0,1965,3,4,3,3
몬스터 헌터,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,2,668.0,101631.0,액션,12세이상관람가,0.0,4.5,2.25,1,0,1926,3,4,3,1
카오스 워킹,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,780.0,99826.0,어드벤처,15세이상관람가,7.36,5.0,6.18,15,1,1921,3,4,3,15
톰과 제리,워너브러더스 코리아(주),2021,2,918.0,91341.0,애니메이션,전체관람가,8.03,7.0,7.515,0,2,1912,3,4,3,0
어니스트 씨프,(주)올스타엔터테인먼트,2021,2,554.0,80111.0,액션,15세이상관람가,8.65,4.0,6.325,1,1,1901,3,4,3,1
세자매,(주)리틀빅픽쳐스,2021,1,569.0,38850.0,드라마,15세이상관람가,8.95,5.0,6.975,2,1,1816,3,4,3,2
아이,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,504.0,37303.0,드라마,15세이상관람가,7.777657657657658,6.0,6.888828828828829,2,1,1808,3,4,3,2
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532.0,24441.0,애니메이션,12세이상관람가,8.02,5.0,6.51,0,0,1752,3,4,3,0
퍼펙트 케어,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,2,308.0,21576.0,범죄,15세이상관람가,9.06,6.0,7.53,4,1,1731,3,4,3,4
고백,(주)리틀빅픽쳐스,2021,2,255.0,20052.0,드라마,15세이상관람가,8.0,8.0,8.0,2,1,1716,3,4,3,2
드림빌더,(주)트리플픽쳐스,2021,2,327.0,17929.0,애니메이션,전체관람가,8.79,6.0,7.395,0,2,1694,3,4,3,0
송가인 더 드라마,(주)영화특별시에스엠씨,2021,2,117.0,16100.0,공연,전체관람가,9.08,8.75,8.915,14,2,1670,3,4,3,14
더블패티,"케이티하이텔(주),판씨네마(주)",2021,2,265.0,13341.0,드라마,15세이상관람가,9.14,5.0,7.07,2,1,1630,3,4,3,2
페어웰,오드,2021,2,162.0,12234.0,가족,전체관람가,7.7725,6.67,7.2212499999999995,11,2,1610,3,4,3,11
엘프,(주)박수엔터테인먼트,2021,2,228.0,11859.0,애니메이션,전체관람가,8.78,5.0,6.89,0,2,1601,3,4,3,0
워 위드 그랜파,"(주)키다리이엔티,(주)태양미디어그룹",2021,2,322.0,10379.0,코미디,12세이상관람가,7.88,5.5,6.6899999999999995,6,0,1567,3,4,3,6
스트레스 제로,(주)트리플픽쳐스,2021,2,157.0,8541.0,애니메이션,전체관람가,8.44,5.5,6.97,0,2,1526,3,4,3,0
빛과 철,찬란,2021,2,161.0,8244.0,드라마,12세이상관람가,8.37,6.5,7.435,2,0,1512,3,4,3,2
마리오네트,(주)이놀미디어,2021,2,138.0,7318.0,미스터리,12세이상관람가,7.185789473684211,3.0,5.092894736842105,9,0,1471,3,4,3,9
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313.0,7250.0,드라마,12세이상관람가,8.17,6.8,7.484999999999999,2,0,1466,3,4,3,2
라스트 레터,(주)스튜디오 산타클로스엔터테인먼트,2021,2,160.0,6652.0,멜로/로맨스,전체관람가,8.3,6.17,7.235,3,2,1446,3,4,3,3
더 레이서,(주)다자인소프트,2021,2,146.0,6470.0,드라마,15세이상관람가,8.2,6.5,7.35,2,1,1440,3,4,3,2
세상의 모든 디저트: 러브 사라,(주)티캐스트,2021,2,117.0,6253.0,드라마,12세이상관람가,7.4,5.5,6.45,2,0,1429,3,4,3,2
북스마트,(주)콘텐츠판다,2021,1,163.0,4994.0,코미디,15세이상관람가,8.49,6.5,7.495,6,1,1378,3,4,3,6
호라이즌 라인,(주)제이앤씨미디어그룹,2021,2,80.0,4718.0,스릴러,12세이상관람가,5.28,5.0,5.140000000000001,7,0,1356,3,4,3,7
디지몬 어드벤처 : 라스트 에볼루션 인연,(주)얼리버드픽쳐스,2021,2,70.0,4344.0,애니메이션,12세이상관람가,7.665774647887324,5.6765384615384615,6.671156554712892,0,0,1330,3,4,3,0
프라미싱 영 우먼,유니버설픽쳐스인터내셔널 코리아(유),2021,2,70.0,4284.0,범죄,15세이상관람가,7.83,7.0,7.415,4,1,1323,3,4,3,4
인투 더 미러,(주)팝엔터테인먼트,2021,2,219.0,4198.0,SF,15세이상관람가,10.0,5.33,7.665,13,1,1316,3,4,3,13
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,(주)애니플러스,2021,2,91.0,4109.0,애니메이션,15세이상관람가,6.08,5.6765384615384615,5.878269230769231,0,1,1310,3,4,3,0
시간의 끝에서 널 기다려,(주)디스테이션,2021,2,111.0,4094.0,드라마,12세이상관람가,7.777657657657658,5.0,6.388828828828829,2,0,1308,3,4,3,2
잃어버린 얼굴 1895,(재)서울예술단,2021,2,63.0,3771.0,뮤지컬,전체관람가,7.08,4.0,5.54,17,2,1277,3,4,2,17
해변의 에트랑제,(주)팝엔터테인먼트,2021,2,92.0,3707.0,애니메이션,15세이상관람가,9.17,5.6765384615384615,7.423269230769231,0,1,1270,3,4,2,0
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155.0,3125.0,다큐멘터리,15세이상관람가,8.15,6.322439024390243,7.236219512195122,8,1,1219,3,4,2,8
이 안에 외계인이 있다,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2021,2,121.0,3068.0,코미디,12세이상관람가,8.91,4.5,6.705,6,0,1216,3,4,2,6
ARKO LIVE 뮤지컬 시데레우스,(주)아이디어랩,2021,2,14.0,2992.0,뮤지컬,전체관람가,7.080000000000001,4.0,5.540000000000001,17,2,1211,3,4,2,17
서바이브 더 나잇,(주)퍼스트런,2021,2,11.0,2908.0,액션,15세이상관람가,3.35,4.0,3.675,1,1,1203,3,4,2,1
리틀드래곤 코코넛2: 정글대탐험,(주)팝엔터테인먼트,2021,2,147.0,2620.0,애니메이션,전체관람가,6.5,6.0,6.25,0,2,1176,3,4,2,0
"구라, 베토벤",목영이엔엠,2021,2,11.0,2602.0,기타,15세이상관람가,7.169999999999999,5.0,6.084999999999999,16,1,1173,3,4,2,16
용루각2: 신들의 밤,(주)그노스,2021,2,20.0,2435.0,액션,15세이상관람가,3.32,5.324375,4.3221875,1,1,1152,3,4,2,1
로그시티,(주)올스타엔터테인먼트,2021,2,10.0,2327.0,범죄,청소년관람불가,6.6,6.0,6.3,4,3,1135,3,4,2,4
폴리스,(주)퍼스트런,2021,2,10.0,2256.0,드라마,15세이상관람가,3.75,3.0,3.375,2,1,1121,3,4,2,2
칙 파이트,주식회사 디에스이이디,2021,2,21.0,2234.0,액션,15세이상관람가,6.96,5.0,5.98,1,1,1119,3,4,2,1
사일런싱,(주)홈초이스,2021,1,89.0,2137.0,공포(호러),15세이상관람가,5.848333333333333,5.665555555555556,5.756944444444445,5,1,1106,3,4,2,5
살아남은 사람들,알토미디어(주),2021,2,35.0,1879.0,드라마,15세이상관람가,8.0,6.33,7.165,2,1,1064,3,4,2,2
헬렌: 내 영혼의 자화상,(주)영화사 진진,2021,2,40.0,1430.0,드라마,12세이상관람가,8.13,6.5,7.315,2,0,979,3,4,2,2
부활: 그 증거,(주)영화사 진진,2020,10,111.0,1348.0,다큐멘터리,전체관람가,9.82,4.0,6.91,8,2,962,2,3,2,8
